Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-January-2023,8377.75,8391.55,8263.60,8293.15,8315.815285894350865131,8727,2380,72572120.00,4057,46.49,127.95,-84.60
9-January-2023,8415.00,8443.55,8325.05,8377.75,8387.725047755491881566,8376,2650,70255585.00,3378,40.33,118.50,-37.25
6-January-2023,8455.00,8478.00,8350.00,8384.95,8392.918467710625080885,7727,2265,64852081.00,4378,56.66,128.00,-70.05
5-January-2023,8410.05,8476.05,8393.60,8459.85,8424.769032300205754596,30619,4661,257958003.00,20417,66.68,82.45,49.80
4-January-2023,8385.00,8534.85,8310.00,8422.00,8430.145775782688766114,17376,3773,146482213.00,4605,26.50,224.85,37.00
3-January-2023,8409.00,8409.00,8305.80,8386.30,8351.666914978148589590,40272,7578,336338330.00,31375,77.91,103.20,-22.70
2-January-2023,8336.05,8450.00,8336.05,8406.65,8403.785404298163385758,28803,7536,242054231.00,20575,71.43,113.95,70.60
30-December-2022,8494.95,8527.05,8366.20,8402.65,8420.301816169769561255,30724,4599,258705353.00,21553,70.15,160.85,-92.30
29-December-2022,8388.00,8449.75,8332.90,8438.15,8379.632180797076933486,29558,6634,247685168.00,22099,74.76,116.85,50.15
28-December-2022,8300.05,8450.00,8290.00,8427.70,8422.030036399071393769,34891,6357,293853050.00,27619,79.16,160.00,127.65
27-December-2022,8290.00,8314.85,8229.80,8300.75,8279.527160765339784473,4547,1023,37647010.00,1226,26.96,85.05,10.75
26-December-2022,8140.00,8271.05,8076.65,8252.80,8209.141553981541103241,9318,3521,76492781.00,4139,44.42,194.40,112.80
23-December-2022,8300.00,8317.25,8122.85,8143.30,8206.476579167053149058,21562,5807,176948048.00,10624,49.27,194.40,-156.70
22-December-2022,8355.00,8384.00,8290.00,8339.40,8335.410887794489551444,7513,2343,62623942.00,2191,29.16,94.00,-15.60
21-December-2022,8549.95,8552.20,8290.20,8348.30,8414.498555649957519116,11770,3511,99038648.00,4324,36.74,262.00,-201.65
20-December-2022,8585.00,8603.85,8435.25,8522.20,8504.848977258808639203,24493,5664,208309266.00,13831,56.47,168.60,-62.80
19-December-2022,8484.65,8623.35,8455.00,8608.25,8548.749849909945967580,4997,1275,42718103.00,1146,22.93,168.35,123.60
16-December-2022,8565.00,8585.60,8447.75,8484.65,8519.233843411083048581,6731,2021,57342963.00,2380,35.36,137.85,-80.35
15-December-2022,8650.00,8674.85,8575.05,8584.00,8610.863647490820073439,8170,2168,70350756.00,4064,49.74,99.80,-66.00
14-December-2022,8650.00,8666.60,8596.05,8641.70,8631.806096272823298626,6627,1938,57202979.00,2111,31.85,70.55,-8.30
13-December-2022,8669.90,8695.00,8611.00,8621.70,8658.052319025783657821,26606,9221,230356140.00,20424,76.76,84.00,-48.20
12-December-2022,8590.05,8690.35,8520.00,8659.15,8633.178104743286346331,9719,3158,83905858.00,3109,31.99,170.35,69.10
9-December-2022,8696.05,8760.00,8543.90,8614.80,8644.606522032071149440,7421,2104,64151625.00,2616,35.25,216.10,-81.25
8-December-2022,8665.00,8707.65,8608.00,8682.25,8671.696538543215119983,4709,1275,40835019.00,1467,31.15,99.65,17.25
7-December-2022,8740.00,8745.40,8642.00,8655.70,8690.912907702984038861,5764,1497,50094422.00,2438,42.30,103.40,-84.30
6-December-2022,8777.00,8797.95,8698.30,8715.70,8739.929293509477311889,17410,4194,152162169.00,6908,39.68,99.65,-61.30
