Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2023,386.00,388.30,381.00,382.15,384.281063592592645056,705947,27269,271282064.00,343498,48.66,7.30,-3.85
5-January-2023,388.40,388.70,382.55,387.00,385.988627744744604148,854360,23485,329773244.00,271709,31.80,6.15,-1.40
4-January-2023,395.15,395.15,385.00,385.75,387.398644188683926071,902928,32104,349793083.00,521850,57.80,10.15,-9.40
3-January-2023,395.50,398.20,393.00,394.00,395.355693561269790163,323014,8450,127705424.00,109075,33.77,5.20,-1.50
2-January-2023,392.00,396.00,390.75,394.80,394.083976990899437224,867309,20712,341792580.00,394073,45.44,5.25,2.80
30-December-2022,391.00,392.10,387.05,388.10,389.839114093810032314,717322,20306,279640173.00,278314,38.80,5.05,-2.90
29-December-2022,389.50,390.15,383.00,385.90,385.318319320718502910,1006593,33196,387858723.00,420130,41.74,7.15,-3.60
28-December-2022,394.15,395.95,390.60,391.40,392.936863176025014584,647942,19972,254600297.00,238127,36.75,5.35,-2.75
27-December-2022,392.00,397.20,388.25,394.15,393.966606366434986829,1102815,25629,434472283.00,323769,29.36,8.95,2.15
26-December-2022,378.30,390.60,375.50,384.85,384.942947971920175044,781059,16413,300663154.00,277368,35.51,15.10,6.55
23-December-2022,390.00,390.05,376.60,378.30,381.785796293722335413,1769862,20310,675708173.00,1345149,76.00,13.45,-11.70
22-December-2022,403.50,404.75,390.20,394.35,395.512671826673484233,1480489,51143,585552160.00,611910,41.33,14.55,-9.15
21-December-2022,412.00,414.40,401.00,402.90,407.078886892575105502,981253,28833,399447379.00,333218,33.96,13.40,-9.10
20-December-2022,417.50,417.90,408.00,410.60,410.948379948960795544,371871,9312,152819785.00,126489,34.01,9.90,-6.90
19-December-2022,422.40,422.95,415.75,417.90,418.243507188560826675,294287,6535,123083627.00,88774,30.17,7.20,-4.50
16-December-2022,416.05,427.75,413.10,421.25,418.820683806375680664,714559,10056,299272089.00,307267,43.00,14.65,5.20
15-December-2022,419.00,422.55,415.70,416.65,419.625398035779140438,663571,15857,278451245.00,357629,53.89,6.85,-2.35
14-December-2022,420.00,421.45,417.45,417.95,419.180492117810455176,558728,12535,234207878.00,279110,49.95,4.00,-2.05
13-December-2022,419.50,421.30,417.30,418.50,419.006261245052177042,305690,5734,128086024.00,79042,25.86,4.00,-1.00
12-December-2022,411.75,416.95,408.00,414.10,413.757346363697396044,551123,17308,228031190.00,212994,38.65,8.95,2.35
9-December-2022,419.95,420.90,409.60,413.35,414.687710423211510356,754729,24299,312976841.00,315248,41.77,11.30,-6.60
