Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2023,2395.00,2400.90,2352.30,2354.95,2370.547445255474452554,2603,577,6170535.00,784,30.12,48.60,-40.05
19-January-2023,2345.05,2415.75,2345.05,2390.85,2389.060783595752471622,5462,879,13049050.00,635,11.63,70.70,45.80
18-January-2023,2409.95,2409.95,2331.00,2363.60,2350.554638173870811073,4118,491,9679584.00,1228,29.82,78.95,-46.35
17-January-2023,2360.10,2371.00,2328.00,2345.25,2345.923133325186361969,8183,810,19196689.00,1943,23.74,43.00,-14.85
16-January-2023,2366.35,2378.75,2353.40,2360.05,2364.562453987730061349,4075,634,9635592.00,1365,33.50,25.35,-6.30
13-January-2023,2388.95,2388.95,2363.75,2366.35,2373.390618513906185139,7227,1003,17152494.00,3213,44.46,25.20,-22.60
12-January-2023,2404.00,2410.00,2354.40,2365.45,2380.773617021276595744,8225,1352,19581863.00,2679,32.57,55.60,-38.55
11-January-2023,2430.10,2440.80,2387.65,2392.85,2405.105814421914865046,7447,1230,17910823.00,1835,24.64,53.15,-37.25
10-January-2023,2469.75,2486.35,2409.00,2417.40,2432.685032661175802328,7042,1140,17130968.00,1678,23.83,77.35,-52.35
9-January-2023,2417.05,2470.00,2417.05,2462.25,2459.958851056963046635,6197,1274,15244365.00,2741,44.23,52.95,45.20
6-January-2023,2438.15,2452.95,2398.05,2416.05,2422.902320887991927346,4955,890,12005481.00,993,20.04,54.90,-22.10
5-January-2023,2388.05,2445.00,2376.10,2439.90,2414.996068944662836407,9921,1482,23959176.00,2693,27.14,68.90,51.85
4-January-2023,2423.05,2479.50,2401.00,2409.55,2448.811691423095352180,8348,1536,20442680.00,1686,20.20,78.50,-13.50
3-January-2023,2435.00,2454.00,2427.90,2442.65,2437.988224637681159420,4416,863,10766156.00,1420,32.16,26.10,7.65
2-January-2023,2432.10,2467.70,2432.10,2439.95,2448.764850084857627757,5303,673,12985800.00,2258,42.58,35.60,7.85
30-December-2022,2472.40,2472.40,2432.75,2441.40,2452.154863552653607902,5973,977,14646721.00,2519,42.17,39.65,-31.00
29-December-2022,2425.00,2460.00,2411.05,2448.80,2433.122963845848232022,5034,865,12248341.00,1221,24.26,48.95,23.80
28-December-2022,2468.00,2475.00,2449.00,2456.35,2460.492542490461325008,2883,640,7093600.00,570,19.77,26.00,-11.65
27-December-2022,2418.00,2487.50,2418.00,2475.05,2456.096862698318024573,8383,1304,20589460.00,1888,22.52,69.50,57.05
26-December-2022,2375.00,2446.70,2365.00,2423.80,2424.869926199261992619,7588,1318,18399913.00,1158,15.26,81.70,48.80
23-December-2022,2468.45,2499.70,2357.60,2371.15,2429.033495958639772810,13733,3451,33357917.00,5667,41.27,142.10,-97.30
22-December-2022,2502.05,2558.30,2497.55,2515.00,2521.783550792171481826,4292,1009,10823495.00,1372,31.97,60.75,12.95
21-December-2022,2604.25,2611.30,2532.20,2540.55,2566.710017969451931716,4452,855,11426993.00,1406,31.58,79.10,-63.70
20-December-2022,2644.95,2644.95,2571.00,2591.05,2594.170653907496012759,5016,749,13012360.00,1826,36.40,73.95,-53.90
19-December-2022,2601.05,2643.05,2601.05,2637.30,2629.415166066426570628,4998,755,13141817.00,1247,24.95,42.00,36.25
16-December-2022,2621.95,2654.20,2598.45,2615.65,2623.857105435494433529,7635,1234,20033149.00,1576,20.64,55.75,-6.30
15-December-2022,2673.95,2673.95,2619.20,2634.35,2654.881791907514450867,3460,818,9185891.00,595,17.20,54.75,-39.60
14-December-2022,2647.90,2674.15,2647.90,2666.65,2666.101820884429580081,2691,498,7174480.00,1203,44.70,26.25,18.75
13-December-2022,2660.00,2674.45,2643.50,2658.60,2658.128984432913269088,10792,1478,28686528.00,6030,55.87,30.95,-1.40
12-December-2022,2600.05,2652.00,2594.95,2642.80,2633.569734345351043643,6324,844,16654695.00,2234,35.33,57.05,42.75
9-December-2022,2649.20,2649.20,2592.80,2618.70,2613.628143046737687865,27879,5638,72865339.00,16042,57.54,56.40,-30.50
8-December-2022,2624.95,2633.75,2576.30,2621.85,2616.655459770114942528,6960,847,18211922.00,2658,38.19,57.45,-3.10
7-December-2022,2601.75,2642.70,2597.90,2602.30,2619.264630577907827359,10936,1295,28644278.00,2881,26.34,44.80,0.55
